pc_number,attachments,text,date,act,precis
1990-2163,," PC Number Date Chapter Bill Dept 1990-21631990-10-020, PMO, , , , PrecisAppointment of Huguette Labelle as Deputy Minister of Transport to hold office during pleasure, effective October 9, 1990. Attachments",1990-10-02,NA,"Appointment of Huguette Labelle as Deputy Minister of Transport to hold office during pleasure, effective October 9, 1990."
1990-2165,," PC Number Date Chapter Bill Dept 1990-21651990-10-020, , , , PMO, PrecisAppointment of Ranald A. Quail as Associate Deputy Minister, Department of Transport, to hold office during pleasure, effective October 9, 1990. Attachments",1990-10-02,NA,"Appointment of Ranald A. Quail as Associate Deputy Minister, Department of Transport, to hold office during pleasure, effective October 9, 1990."
1990-2206,," PC Number Date Chapter Bill Dept 1990-22061990-10-100, , , , PMOPrecisAppointment of Lawrence O'Toole as Deputy Minister of Public Works to hold office during pleasure, effective October 10, 1990. Attachments",1990-10-10,NA,"Appointment of Lawrence O'Toole as Deputy Minister of Public Works to hold office during pleasure, effective October 10, 1990."
1990-2284,," PC Number Date Chapter Bill Dept 1990-22841990-10-240PMO, , , , , PrecisAppointment of Daniel Gagnier as Deputy Secretary to the Cabinet (Communications), Privy Council Office, to hold office during pleasure, effective October 29, 1990. Attachments",1990-10-24,NA,"Appointment of Daniel Gagnier as Deputy Secretary to the Cabinet (Communications), Privy Council Office, to hold office during pleasure, effective October 29, 1990."
1990-2458,," PC Number Date Chapter Bill Dept 1990-24581990-11-200, , PMO, , PrecisAppointment of Raymond Protti as Deputy Minister of Labour to hold office during pleasure. Attachments",1990-11-20,NA,Appointment of Raymond Protti as Deputy Minister of Labour to hold office during pleasure.
1990-2459,," PC Number Date Chapter Bill Dept 1990-24591990-11-200, PMO, , , PrecisAppointment of Nick G. Mulder as Deputy Minister of Supply and Deputy Minister of Services to hold office during pleasure. Attachments",1990-11-20,NA,Appointment of Nick G. Mulder as Deputy Minister of Supply and Deputy Minister of Services to hold office during pleasure.
1990-2460,," PC Number Date Chapter Bill Dept 1990-24601990-11-200PMO, , , , , , PrecisAppointment of Michèle Jean as Associate Deputy Minister of Employment and Immigration to hold office during pleasure and as a commissioner of the Canada Employment and Immigration Commission. Attachments",1990-11-20,NA,Appointment of Michèle Jean as Associate Deputy Minister of Employment and Immigration to hold office during pleasure and as a commissioner of the Canada Employment and Immigration Commission.
1990-2462,," PC Number Date Chapter Bill Dept 1990-24621990-11-200, , , , , , PMOPrecisAppointment of Mary M. Gusella as Associate Under Secretary of State to hold office during pleasure, effective December 3, 1990. Attachments",1990-11-20,NA,"Appointment of Mary M. Gusella as Associate Under Secretary of State to hold office during pleasure, effective December 3, 1990."
1990-2463,," PC Number Date Chapter Bill Dept 1990-24631990-11-200, , , PMO, , , PrecisAppointment of Robert Allen Kilpatrick as Deputy Minister of Western Economic Diversification to hold office during pleasure, effective November 26, 1990. Attachments",1990-11-20,NA,"Appointment of Robert Allen Kilpatrick as Deputy Minister of Western Economic Diversification to hold office during pleasure, effective November 26, 1990."
1990-2465,," PC Number Date Chapter Bill Dept 1990-24651990-11-200, , PMO, , PrecisAppointment of Peter Meyboom as Special Advisor to the Deputy Minister of Fisheries and Oceans to hold office during pleasure, effective November 26, 1990. Attachments",1990-11-20,NA,"Appointment of Peter Meyboom as Special Advisor to the Deputy Minister of Fisheries and Oceans to hold office during pleasure, effective November 26, 1990."
1990-2466,," PC Number Date Chapter Bill Dept 1990-24661990-11-200, PMO, , , PrecisAppointment of Bruce S. Rawson as Deputy Minister of Fisheries and Oceans to hold office during pleasure, effective November 26, 1990. Attachments",1990-11-20,NA,"Appointment of Bruce S. Rawson as Deputy Minister of Fisheries and Oceans to hold office during pleasure, effective November 26, 1990."
1990-2841,," PC Number Date Chapter Bill Dept 1990-28411990-12-210, , , , PMOPrecisAppointment of Ronald L. Bilodeau as Deputy Secretary to the Cabinet (Operations) to hold office during pleasure. Attachments",1990-12-21,NA,Appointment of Ronald L. Bilodeau as Deputy Secretary to the Cabinet (Operations) to hold office during pleasure.
1991-0193,," PC Number Date Chapter Bill Dept 1991-01931991-01-310, , PMO, PrecisAppointment of J. DAVID NICHOLSON as Acting Deputy Minister of Veterans, to hold office during pleasure, effective February 1, 1991. Attachments",1991-01-31,NA,"Appointment of J. DAVID NICHOLSON as Acting Deputy Minister of Veterans, to hold office during pleasure, effective February 1, 1991."
1991-0802,," PC Number Date Chapter Bill Dept 1991-08021991-04-290, , , , , PMOPrecisAppointment of Mary Gusella as Deputy Minister of Multiculturalism and Citizenship to hold office during pleasure, effective April 26, 1991. Attachments",1991-04-29,NA,"Appointment of Mary Gusella as Deputy Minister of Multiculturalism and Citizenship to hold office during pleasure, effective April 26, 1991."
1991-1008,," PC Number Date Chapter Bill Dept 1991-10081991-06-060, , , , , PMOPrecisAppointment of Dan E. Goodleaf, of Nepean, Ontario, as Associate Deputy Minister, Department of Indian Affairs and Northern Development, to hold office during pleasure, effective June 17, 1991. Attachments",1991-06-06,NA,"Appointment of Dan E. Goodleaf, of Nepean, Ontario, as Associate Deputy Minister, Department of Indian Affairs and Northern Development, to hold office during pleasure, effective June 17, 1991."
1991-1077,," PC Number Date Chapter Bill Dept 1991-10771991-06-120, , , , , PMOPrecisAppointment of Jocelyne Bourgon as Associate Secretary to the Cabinet for Federal-Provincial Relations to hold office during pleasure, effective June 17, 1991. Attachments",1991-06-12,NA,"Appointment of Jocelyne Bourgon as Associate Secretary to the Cabinet for Federal-Provincial Relations to hold office during pleasure, effective June 17, 1991."
1991-1078,," PC Number Date Chapter Bill Dept 1991-10781991-06-120, , PMO, , , PrecisAppointment of Nancy Hughes Anthony as Deputy Minister of Consumer and Corporate Affairs to hold office during pleasure, effective June 17, 1991. Attachments",1991-06-12,NA,"Appointment of Nancy Hughes Anthony as Deputy Minister of Consumer and Corporate Affairs to hold office during pleasure, effective June 17, 1991."
1991-1213,," PC Number Date Chapter Bill Dept 1991-12131991-06-250PMO, , , , PrecisAppointment of Anthony T. Eyton, of Ottawa, Ontario, as Associate Deputy Minister (Prosperity), Department of Industry, Science and Technology, to hold office during pleasure. Attachments",1991-06-25,NA,"Appointment of Anthony T. Eyton, of Ottawa, Ontario, as Associate Deputy Minister (Prosperity), Department of Industry, Science and Technology, to hold office during pleasure."
1991-1703,," PC Number Date Chapter Bill Dept 1991-17031991-09-050, , , , , PMO, PrecisAppointment of Nicholas d'Ombrain, of Ottawa, Ontario, as Deputy Secretary to the Cabinet (Machinery of Government and Senior Personnel), Privy Council Office, to hold office during pleasure, effective September 9, 1991. Attachments",1991-09-05,NA,"Appointment of Nicholas d'Ombrain, of Ottawa, Ontario, as Deputy Secretary to the Cabinet (Machinery of Government and Senior Personnel), Privy Council Office, to hold office during pleasure, effective September 9, 1991."
1991-1705,," PC Number Date Chapter Bill Dept 1991-17051991-09-050, , PMO, , , , PrecisAppointment of Peter Harder, of Ottawa, Ontario, as Associate Deputy Minister (Immigration), to hold office during pleasure, effective September 9, 1991. Attachments",1991-09-05,NA,"Appointment of Peter Harder, of Ottawa, Ontario, as Associate Deputy Minister (Immigration), to hold office during pleasure, effective September 9, 1991."
1991-2377,," PC Number Date Chapter Bill Dept 1991-23771991-11-280PMO, , , , PrecisAppointment of Gerald G. Capello, of Ottawa, Ontario, as Deputy Minister of Labour to hold office during pleasure. Attachments",1991-11-28,NA,"Appointment of Gerald G. Capello, of Ottawa, Ontario, as Deputy Minister of Labour to hold office during pleasure."
1991-2389,," PC Number Date Chapter Bill Dept 1991-23891991-11-290, PMO, , , PrecisAppointment of J. David Nicholson, of Charlottetown, Prince Edward Island, to act in the stead of the Deputy Minister of Veterans Affairs. Attachments",1991-11-29,NA,"Appointment of J. David Nicholson, of Charlottetown, Prince Edward Island, to act in the stead of the Deputy Minister of Veterans Affairs."
1991-2390,," PC Number Date Chapter Bill Dept 1991-23901991-11-290, , , , PMOPrecisAppointment of Michèle Jean to act in the stead of the Deputy Minister of Employment and Immigration. Attachments",1991-11-29,NA,Appointment of Michèle Jean to act in the stead of the Deputy Minister of Employment and Immigration.
1992-0381,," PC Number Date Chapter Bill Dept 1992-03811992-02-270, , , , PMOPrecisAppointment of Bruce Howe, Deputy Minister of Energy, Mines and Resources, to be concurrently Chairman of the Petroleum Monitoring Agency to hold office during pleasure, in the place of Pierre Camu. Attachments",1992-02-27,NA,"Appointment of Bruce Howe, Deputy Minister of Energy, Mines and Resources, to be concurrently Chairman of the Petroleum Monitoring Agency to hold office during pleasure, in the place of Pierre Camu."
1992-0383,," PC Number Date Chapter Bill Dept 1992-03831992-02-270, , PMO, , PrecisAppointment of Nick G. Mulder, Deputy Minister of Supply and Deputy Minister of Services to be concurrently President of the Canadian Commercial Corporation to hold office during pleasure for a term of two years. Attachments",1992-02-27,NA,"Appointment of Nick G. Mulder, Deputy Minister of Supply and Deputy Minister of Services to be concurrently President of the Canadian Commercial Corporation to hold office during pleasure for a term of two years."
1992-0869,," PC Number Date Chapter Bill Dept 1992-08691992-05-040, , , , PMOPrecisAppointment of Michael Binder to act in the stead of the Deputy Minister of Communications. Attachments",1992-05-04,NA,Appointment of Michael Binder to act in the stead of the Deputy Minister of Communications.
1992-1171,," PC Number Date Chapter Bill Dept 1992-11711992-06-020, , , , PMOPrecisAppointment of Bruce I. Howe, Deputy Minister of Energy, Mines and Resources to be concurrently Acting President and Chief Executive Officer of Atomic Energy of Canada Limited to hold office during pleasure. Attachments",1992-06-02,NA,"Appointment of Bruce I. Howe, Deputy Minister of Energy, Mines and Resources to be concurrently Acting President and Chief Executive Officer of Atomic Energy of Canada Limited to hold office during pleasure."
1992-1288,," PC Number Date Chapter Bill Dept 1992-12881992-06-160, , , , PMOPrecisAppointment of Alain Gourd as Associate Secretary to the Cabinet and Deputy Clerk of the Privy Council, to hold office during pleasure, effective October 1, 1992. Attachments",1992-06-16,NA,"Appointment of Alain Gourd as Associate Secretary to the Cabinet and Deputy Clerk of the Privy Council, to hold office during pleasure, effective October 1, 1992."
1992-1756,," PC Number Date Chapter Bill Dept 1992-17561992-07-310, , , PMO, PrecisAppointment of David A. Dodge, of Ottawa, Ontario, as Deputy Minister of Finance to hold office during pleasure, effective August 1, 1992. Attachments",1992-07-31,NA,"Appointment of David A. Dodge, of Ottawa, Ontario, as Deputy Minister of Finance to hold office during pleasure, effective August 1, 1992."
1992-2035,," PC Number Date Chapter Bill Dept 1992-20351992-09-150LAB, , , , PrecisAppointment of Gerald G. Capello, Deputy Minister, Department of Labour, as a governor of the Council of the Canadian Centre for Occupational Health and Safety being the nominee of the Government of Canada to hold office during pleasure for a term of three years. Attachments",1992-09-15,NA,"Appointment of Gerald G. Capello, Deputy Minister, Department of Labour, as a governor of the Council of the Canadian Centre for Occupational Health and Safety being the nominee of the Government of Canada to hold office during pleasure for a term of three years."
1992-2040,," PC Number Date Chapter Bill Dept 1992-20401992-09-150, , , , PMOPrecisAppointment of J. David Nicholson, of Charlottetown, Prince Edward Island, to act in the stead of the Deputy Minister of Veterans Affairs. Attachments",1992-09-15,NA,"Appointment of J. David Nicholson, of Charlottetown, Prince Edward Island, to act in the stead of the Deputy Minister of Veterans Affairs."
1992-2121,," PC Number Date Chapter Bill Dept 1992-21211992-09-180, , , PMO, , PrecisAppointment of Harry S. Swain, of Ottawa, Ontario, as Deputy Minister of Industry, Science and Technology, to hold office during pleasure. Attachments",1992-09-18,NA,"Appointment of Harry S. Swain, of Ottawa, Ontario, as Deputy Minister of Industry, Science and Technology, to hold office during pleasure."
1992-2122,," PC Number Date Chapter Bill Dept 1992-21221992-09-180, , , , PMO, PrecisAppointment of Dan E. Goodleaf, of Nepean, Ontario, as Deputy Minister of Indian Affairs and Northern Development to hold office during pleasure. Attachments",1992-09-18,NA,"Appointment of Dan E. Goodleaf, of Nepean, Ontario, as Deputy Minister of Indian Affairs and Northern Development to hold office during pleasure."
1992-2124,," PC Number Date Chapter Bill Dept 1992-21241992-09-180PMO, , , , PrecisAppointment of Ruth Hubbard, of Ottawa, Ontario, as Deputy Minister of Employment and Immigration, to hold office during pleasure, effective October 1, 1992. Attachments",1992-09-18,NA,"Appointment of Ruth Hubbard, of Ottawa, Ontario, as Deputy Minister of Employment and Immigration, to hold office during pleasure, effective October 1, 1992."
1992-2125,," PC Number Date Chapter Bill Dept 1992-21251992-09-180, PMO, , , PrecisAppointment of Pierre Gravelle, Deputy Minister of National Revenue for Taxation, to be concurrently Deputy Minister of National Revenue for Customs and Excise, effective October 1, 1992. Attachments",1992-09-18,NA,"Appointment of Pierre Gravelle, Deputy Minister of National Revenue for Taxation, to be concurrently Deputy Minister of National Revenue for Customs and Excise, effective October 1, 1992."
1992-2126,," PC Number Date Chapter Bill Dept 1992-21261992-09-180, , PMO, , PrecisAppointment of Jean-Jacques Noreau, of Wendover, Ontario, as Deputy Minister of National Health and Welfare, to hold office during pleasure, effective October 7, 1992. Attachments",1992-09-18,NA,"Appointment of Jean-Jacques Noreau, of Wendover, Ontario, as Deputy Minister of National Health and Welfare, to hold office during pleasure, effective October 7, 1992."
1992-2127,," PC Number Date Chapter Bill Dept 1992-21271992-09-180, , , PMO, PrecisAppointment of Robert A. Wright, of Orleans, Ontario, as Deputy Minister of Agriculture to hold office during pleasure, effective October 7, 1992. Attachments",1992-09-18,NA,"Appointment of Robert A. Wright, of Orleans, Ontario, as Deputy Minister of Agriculture to hold office during pleasure, effective October 7, 1992."
1992-2130,," PC Number Date Chapter Bill Dept 1992-21301992-09-180, , , , , PMOPrecisAppointment of Marie Poulin, of Ottawa, Ontario, as Deputy Secretary to the Cabinet (Communications and Consultation), Privy Council Office, to hold office during pleasure, effective October 1, 1992. Attachments",1992-09-18,NA,"Appointment of Marie Poulin, of Ottawa, Ontario, as Deputy Secretary to the Cabinet (Communications and Consultation), Privy Council Office, to hold office during pleasure, effective October 1, 1992."
1992-2131,," PC Number Date Chapter Bill Dept 1992-21311992-09-180, , PMO, , , PrecisAppointment of Eric A. Bowie, of Gloucester, Ontario, as Associate Deputy Minister of Justice to hold office during pleasure. Attachments",1992-09-18,NA,"Appointment of Eric A. Bowie, of Gloucester, Ontario, as Associate Deputy Minister of Justice to hold office during pleasure."
1992-2266,," PC Number Date Chapter Bill Dept 1992-22661992-10-300, , PMO, , PrecisAppointment of MARC ROCHON, of Gatineau, Quebec, to be Deputy Minister of Communications, to hold office during pleasure. Attachments",1992-10-30,NA,"Appointment of MARC ROCHON, of Gatineau, Quebec, to be Deputy Minister of Communications, to hold office during pleasure."
1992-2268,," PC Number Date Chapter Bill Dept 1992-22681992-10-300, , , , PMOPrecisAppointment of KEVIN LYNCH, of Ottawa, Ontario to be Associate Deputy Minister of Industry, Science and Technology, to hold office during pleasure. Attachments",1992-10-30,NA,"Appointment of KEVIN LYNCH, of Ottawa, Ontario to be Associate Deputy Minister of Industry, Science and Technology, to hold office during pleasure."
1993-0181,," PC Number Date Chapter Bill Dept 1993-01811993-02-040, , PMO, , , PrecisAppointment of Suzanne Hurtubise to the position of Deputy Secretary to the Cabinet (Plans), to hold office during pleasure, effective March 1, 1993. Attachments",1993-02-04,NA,"Appointment of Suzanne Hurtubise to the position of Deputy Secretary to the Cabinet (Plans), to hold office during pleasure, effective March 1, 1993."
1993-0229,," PC Number Date Chapter Bill Dept 1993-02291993-02-100, , PMO, , , PrecisAppointment of T. D'Arcy Finn as Special Advisor to the Deputy Minister of National Defence, to hold office during pleasure. Attachments",1993-02-10,NA,"Appointment of T. D'Arcy Finn as Special Advisor to the Deputy Minister of National Defence, to hold office during pleasure."
1993-0237,," PC Number Date Chapter Bill Dept 1993-02371993-02-100, , , , PMO, PrecisAppointment of Robert Allen Kilpatrick as Associate Under-Secretary of State for External Affairs and designation of the said Robert Allen Kilpatrick as Deputy Minister for International Trade to hold office during pleasure. Attachments",1993-02-10,NA,Appointment of Robert Allen Kilpatrick as Associate Under-Secretary of State for External Affairs and designation of the said Robert Allen Kilpatrick as Deputy Minister for International Trade to hold office during pleasure.
1993-0238,," PC Number Date Chapter Bill Dept 1993-02381993-02-100PMO, , , , , PrecisAppointment of Bruce Howe, of Ottawa, Ontario, as Deputy Minister of Western Economic Diversification to hold office during pleasure. Attachments",1993-02-10,NA,"Appointment of Bruce Howe, of Ottawa, Ontario, as Deputy Minister of Western Economic Diversification to hold office during pleasure."
1993-0239,," PC Number Date Chapter Bill Dept 1993-02391993-02-100, PMO, , , , PrecisAppointment of Ronald L. Bilodeau, of Orleans, Ontario, as Deputy Minister of Energy, Mines and Resources to hold office during pleasure. Attachments",1993-02-10,NA,"Appointment of Ronald L. Bilodeau, of Orleans, Ontario, as Deputy Minister of Energy, Mines and Resources to hold office during pleasure."
1993-0240,," PC Number Date Chapter Bill Dept 1993-02401993-02-100, , PMO, , , PrecisAppointment of Janet R. Smith as Deputy Minister of Consumer and Corporate Affairs to hold office during pleasure. Attachments",1993-02-10,NA,Appointment of Janet R. Smith as Deputy Minister of Consumer and Corporate Affairs to hold office during pleasure.
1993-0241,," PC Number Date Chapter Bill Dept 1993-02411993-02-100, , , PMO, , PrecisAppointment of Nancy Hughes Anthony as Deputy Minister of Veterans Affairs to hold office during pleasure. Attachments",1993-02-10,NA,Appointment of Nancy Hughes Anthony as Deputy Minister of Veterans Affairs to hold office during pleasure.
1993-0243,," PC Number Date Chapter Bill Dept 1993-02431993-02-100PMO, , , , , PrecisAppointment of Ian E. Bennett to the position of Deputy Secretary to the Cabinet (Operations) to hold office during pleasure. Attachments",1993-02-10,NA,Appointment of Ian E. Bennett to the position of Deputy Secretary to the Cabinet (Operations) to hold office during pleasure.
1993-0245,," PC Number Date Chapter Bill Dept 1993-02451993-02-100, , PMO, , , PrecisAppointment of Ranald Andrew Quail, of Ottawa, Ontario, as Deputy Minister of Public Works to hold office during pleasure. Attachments",1993-02-10,NA,"Appointment of Ranald Andrew Quail, of Ottawa, Ontario, as Deputy Minister of Public Works to hold office during pleasure."
1993-0248,," PC Number Date Chapter Bill Dept 1993-02481993-02-100PMO, , , , , , PrecisAppointment of Harry Rogers to the position of Deputy Minister, Office of Federal Economic Development (Ontario) to hold office during pleasure. Attachments",1993-02-10,NA,"Appointment of Harry Rogers to the position of Deputy Minister, Office of Federal Economic Development (Ontario) to hold office during pleasure."
1993-0251,," PC Number Date Chapter Bill Dept 1993-02511993-02-100, , , , PMO, , PrecisAppointment of François Pouliot, of Ottawa, Ontario, as Associate Deputy Minister of Employment and Immigration to hold office during pleasure and as Commissioner of the Canada Employment and Immigration Commission. Attachments",1993-02-10,NA,"Appointment of François Pouliot, of Ottawa, Ontario, as Associate Deputy Minister of Employment and Immigration to hold office during pleasure and as Commissioner of the Canada Employment and Immigration Commission."
1993-0253,," PC Number Date Chapter Bill Dept 1993-02531993-02-100PMO, , , , , , PrecisAppointment of Scott R. Serson to the position of Associate Deputy Minister of National Health and Welfare to hold office during pleasure. Attachments",1993-02-10,NA,Appointment of Scott R. Serson to the position of Associate Deputy Minister of National Health and Welfare to hold office during pleasure.
1993-0255,," PC Number Date Chapter Bill Dept 1993-02551993-02-100, , , PMO, , , PrecisAppointment of Richard Van Loon to the position of Associate Deputy Minister of Indian Affairs and Northern Development to hold office during pleasure. Attachments",1993-02-10,NA,Appointment of Richard Van Loon to the position of Associate Deputy Minister of Indian Affairs and Northern Development to hold office during pleasure.
1993-0257,," PC Number Date Chapter Bill Dept 1993-02571993-02-100, , , , , , PMOPrecisAppointment of Danielle Wetherup to the position of Associate Deputy Minister of Environment to hold office during pleasure. Attachments",1993-02-10,NA,Appointment of Danielle Wetherup to the position of Associate Deputy Minister of Environment to hold office during pleasure.
1993-0259,," PC Number Date Chapter Bill Dept 1993-02591993-02-100, , , PMO, , PrecisAppointment of D. Ian Glen to the position of Associate Deputy Minister, Department of Employment and Immigration to hold office during pleasure. Attachments",1993-02-10,NA,"Appointment of D. Ian Glen to the position of Associate Deputy Minister, Department of Employment and Immigration to hold office during pleasure."
1993-0260,," PC Number Date Chapter Bill Dept 1993-02601993-02-100, , , , PMO, PrecisAppointment of Nick Mulder as Deputy Minister of Employment and Immigration to hold office during pleasure. Attachments",1993-02-10,NA,Appointment of Nick Mulder as Deputy Minister of Employment and Immigration to hold office during pleasure.
1993-0261,," PC Number Date Chapter Bill Dept 1993-02611993-02-100, , , , , PMOPrecisAppointment of Ruth M. Hubbard as Deputy Minister of Supply and concurrently as Deputy Minister of Services to hold office during pleasure, and concurrently as President of the Canadian Commercial Corporation to hold office during pleasure for a term of two years. Attachments",1993-02-10,NA,"Appointment of Ruth M. Hubbard as Deputy Minister of Supply and concurrently as Deputy Minister of Services to hold office during pleasure, and concurrently as President of the Canadian Commercial Corporation to hold office during pleasure for a term of two years."
1993-0297,," PC Number Date Chapter Bill Dept 1993-02971993-02-160, ISTC, , , PrecisApproval of the appointment by the Minister of Industry, Science and Technology of Harry Swain, Deputy Minister of Industry, Science and Technology, as a director of the Board of Directors of the Federal Business Development Bank to hold office during pleasure for a term of three years; and designate him as a director of the Executive Committee of the Federal Business Development Bank, in the place of Harry Rogers. Attachments",1993-02-16,NA,"Approval of the appointment by the Minister of Industry, Science and Technology of Harry Swain, Deputy Minister of Industry, Science and Technology, as a director of the Board of Directors of the Federal Business Development Bank to hold office during pleasure for a term of three years; and designate him as a director of the Executive Committee of the Federal Business Development Bank, in the place of Harry Rogers."
1993-0388,," PC Number Date Chapter Bill Dept 1993-03881993-03-030, ISTC, , , , PrecisAppointment of Robert Blackburn, Assistant Deputy Minister, Policy, of the Department of Industry, Science and Technology, as an alternate director of the Federal Business Development Bank for Harry Swain. Attachments",1993-03-03,NA,"Appointment of Robert Blackburn, Assistant Deputy Minister, Policy, of the Department of Industry, Science and Technology, as an alternate director of the Federal Business Development Bank for Harry Swain."
1993-0570,," PC Number Date Chapter Bill Dept 1993-05701993-03-250, , FIN, , PrecisAppointment of C. Scott Clark, Senior Assistant Deputy Minister of Finance, as Alternate Governor of the International Monetary Fund, in the place of David A. Dodge. Attachments",1993-03-25,NA,"Appointment of C. Scott Clark, Senior Assistant Deputy Minister of Finance, as Alternate Governor of the International Monetary Fund, in the place of David A. Dodge."
1993-1362,," PC Number Date Chapter Bill Dept 1993-13621993-06-160, , , , , PMO, PrecisAppointment of William A. Rowat to the position of Associate Deputy Minister, Department of Transport, to hold office during pleasure. Attachments",1993-06-16,NA,"Appointment of William A. Rowat to the position of Associate Deputy Minister, Department of Transport, to hold office during pleasure."
1993-1494,," PC Number Date Chapter Bill Dept 1993-14941993-06-250PMO, , , , PrecisAppointment of Ronald Bilodeau, Deputy Minister of Energy, Mines and Resources, to be concurrently Deputy Minister of Forestry, to hold office during pleasure. Attachments",1993-06-25,NA,"Appointment of Ronald Bilodeau, Deputy Minister of Energy, Mines and Resources, to be concurrently Deputy Minister of Forestry, to hold office during pleasure."
1993-1495,," PC Number Date Chapter Bill Dept 1993-14951993-06-250PMO, , , , , , PrecisAppointment of Jocelyne Bourgon to be Deputy Minister of Transport, to hold office during pleasure. Attachments",1993-06-25,NA,"Appointment of Jocelyne Bourgon to be Deputy Minister of Transport, to hold office during pleasure."
1993-1505,," PC Number Date Chapter Bill Dept 1993-15051993-06-250PMO, , , , , , PrecisAppointment of Michèle S. Jean to be Deputy Minister of National Health and Welfare, to hold office during pleasure. Attachments",1993-06-25,NA,"Appointment of Michèle S. Jean to be Deputy Minister of National Health and Welfare, to hold office during pleasure."
1993-1512,," PC Number Date Chapter Bill Dept 1993-15121993-06-250, , , PMO, , , PrecisAppointment of Jean C. McCloskey to the position of Associate Deputy Minister of Finance, to hold office during pleasure. Attachments",1993-06-25,NA,"Appointment of Jean C. McCloskey to the position of Associate Deputy Minister of Finance, to hold office during pleasure."
1993-1514,," PC Number Date Chapter Bill Dept 1993-15141993-06-250, , , , , , PMOPrecisAppointment of Jean-Claude Mercier to the position of Special Advisor to the Deputy Minister of Energy, Mines and Resources, to hold office during pleasure. Attachments",1993-06-25,NA,"Appointment of Jean-Claude Mercier to the position of Special Advisor to the Deputy Minister of Energy, Mines and Resources, to hold office during pleasure."
